CustomerID,Age,Spend,Recency,Frequency,Category,Region
1,45,1550,30,12,Electronics,North
2,38,820,45,8,Fashion,South
3,28,600,60,5,Home,East
4,52,1450,25,14,Electronics,West
5,35,750,50,6,Fashion,North
6,48,1680,28,13,Furniture,South
7,31,580,70,3,Home,East
8,62,2100,15,18,Home,West
9,25,520,80,2,Fashion,North
10,55,1820,22,15,Electronics,South
11,42,950,40,9,Books,East
12,37,710,55,7,Fashion,West
13,49,1750,26,14,Electronics,North
14,30,640,65,4,Home,South
15,58,2050,18,16,Furniture,East
16,33,780,48,8,Fashion,West
17,47,1580,32,11,Electronics,North
18,29,670,62,5,Home,South
19,61,2200,12,20,Luxury,East
20,40,920,42,10,Books,West
21,36,850,52,7,Fashion,North
22,51,1920,24,13,Electronics,South
23,26,550,75,2,Home,East
24,54,1750,29,12,Furniture,West
25,39,880,46,9,Fashion,North
26,44,1480,35,10,Electronics,South
27,32,720,58,5,Home,East
28,57,2000,20,17,Furniture,West
29,27,600,68,3,Fashion,North
30,50,1650,31,11,Electronics,South
